ts_event,open,high,low,close,volume
2022-03-10 09:00:00+00:00,161.78,162.0,160.58,161.0,31110
2022-03-10 10:00:00+00:00,160.94,161.4,160.5,160.53,15700
2022-03-10 11:00:00+00:00,160.53,160.76,159.88,160.1,16847
2022-03-10 12:00:00+00:00,160.19,160.94,160.0,160.0,75336
2022-03-10 13:00:00+00:00,159.99,160.88,159.88,160.19,114613
2022-03-10 14:00:00+00:00,160.19,160.4,158.03,158.93,3521790
2022-03-10 15:00:00+00:00,158.92,158.95,157.6,157.785,2200587
2022-03-10 16:00:00+00:00,157.77,157.77,156.4,157.36,2057105
2022-03-10 17:00:00+00:00,157.36,157.495,156.01,156.07,1452198
2022-03-10 18:00:00+00:00,156.06,157.73,155.99,157.54,1392198
2022-03-10 19:00:00+00:00,157.55,159.18,157.42,159.01,1464519
2022-03-10 20:00:00+00:00,159.02,159.08,157.41,158.52,3114927
2022-03-10 21:00:00+00:00,158.52,158.52,158.0,158.19,8380131
2022-03-10 22:00:00+00:00,158.19,158.2,157.86,158.02,3683
2022-03-10 23:00:00+00:00,158.04,158.5,158.04,158.41,12060
2022-03-11 09:00:00+00:00,158.35,159.44,158.31,159.44,16938
2022-03-11 10:00:00+00:00,159.43,159.57,159.0,159.23,11524
2022-03-11 11:00:00+00:00,159.33,162.1,159.05,161.27,83060
2022-03-11 12:00:00+00:00,161.09,161.09,160.17,160.19,122194
2022-03-11 13:00:00+00:00,160.19,160.37,159.76,159.92,71767
2022-03-11 14:00:00+00:00,159.95,159.98,156.97,157.65,2933878
2022-03-11 15:00:00+00:00,157.66,158.12,156.93,157.87,2061456
2022-03-11 16:00:00+00:00,157.865,157.89,154.78,155.51,2768009
2022-03-11 17:00:00+00:00,155.49,155.6,154.74,155.38,1716808
2022-03-11 18:00:00+00:00,155.385,156.795,155.28,156.09,1377691
2022-03-11 19:00:00+00:00,156.09,156.6,155.62,155.89,1178368
2022-03-11 20:00:00+00:00,155.91,156.01,154.5,154.8,4078325
2022-03-11 21:00:00+00:00,154.75,154.96,154.42,154.42,7695856
2022-03-11 22:00:00+00:00,154.49,154.73,154.41,154.68,9689
2022-03-11 23:00:00+00:00,154.66,154.67,154.34,154.48,5965
2022-03-14 08:00:00+00:00,154.44,155.1,153.77,154.2,67078
2022-03-14 09:00:00+00:00,154.2,155.58,154.08,155.03,58719
2022-03-14 10:00:00+00:00,155.2,155.39,154.3,154.4,45890
2022-03-14 11:00:00+00:00,154.38,154.43,152.0,152.14,201150
2022-03-14 12:00:00+00:00,152.14,152.53,151.5,152.36,234684
2022-03-14 13:00:00+00:00,152.38,153.32,151.06,152.47,4206134
2022-03-14 14:00:00+00:00,152.45,154.0,152.13,153.99,2484994
2022-03-14 15:00:00+00:00,153.99,154.12,152.13,152.48,1569951
2022-03-14 16:00:00+00:00,152.47,152.52,150.96,150.98,1999981
2022-03-14 17:00:00+00:00,150.98,151.44,150.45,151.0,1812967
2022-03-14 18:00:00+00:00,150.99,151.35,150.41,151.14,1393450
2022-03-14 19:00:00+00:00,151.14,151.73,150.11,150.64,3567050
2022-03-14 20:00:00+00:00,150.63,150.97,150.17,150.83,8526584
2022-03-14 21:00:00+00:00,150.81,150.84,150.19,150.44,31712
2022-03-14 22:00:00+00:00,150.44,150.99,150.27,150.66,11822
2022-03-14 23:00:00+00:00,150.65,151.0,150.47,150.93,15640
2022-03-15 08:00:00+00:00,150.5,150.94,149.12,149.3,79978
2022-03-15 09:00:00+00:00,149.3,150.03,148.93,149.46,49633
2022-03-15 10:00:00+00:00,149.46,150.72,149.39,150.31,41381
2022-03-15 11:00:00+00:00,150.25,150.89,150.03,150.26,80775
2022-03-15 12:00:00+00:00,150.23,151.56,150.08,150.98,120306
2022-03-15 13:00:00+00:00,150.98,152.29,150.33,151.56,3313673
2022-03-15 14:00:00+00:00,151.57,152.77,150.68,152.5,2138848
