ts_event,open,high,low,close,volume
2022-04-18 16:00:00+00:00,437.17,437.22,435.62,436.55,877357
2022-04-18 17:00:00+00:00,436.55,439.73,436.38,439.15,1282338
2022-04-18 18:00:00+00:00,439.14,439.75,438.28,438.37,1078123
2022-04-18 19:00:00+00:00,438.38,438.55,435.64,437.99,2649628
2022-04-18 20:00:00+00:00,438.0,439.53,437.85,439.03,516807
2022-04-18 21:00:00+00:00,439.02,439.25,439.02,439.15,59635
2022-04-18 22:00:00+00:00,439.14,439.5,438.94,439.3,15490
2022-04-18 23:00:00+00:00,439.29,440.18,439.05,440.13,11596
2022-04-19 08:00:00+00:00,439.08,439.51,437.44,437.5,18454
2022-04-19 09:00:00+00:00,437.36,437.39,436.35,436.75,11326
2022-04-19 10:00:00+00:00,436.85,437.47,436.48,437.46,20844
2022-04-19 11:00:00+00:00,437.59,438.24,437.33,438.12,17786
2022-04-19 12:00:00+00:00,438.06,438.54,437.58,437.71,52972
2022-04-19 13:00:00+00:00,437.7,441.44,436.9,441.42,1974741
2022-04-19 14:00:00+00:00,441.4,443.84,441.17,443.16,1958368
2022-04-19 15:00:00+00:00,443.155,444.27,442.765,443.71,1357795
2022-04-19 16:00:00+00:00,443.72,444.03,443.1,443.38,937474
2022-04-19 17:00:00+00:00,443.38,443.87,442.65,443.57,688208
2022-04-19 18:00:00+00:00,443.58,443.86,442.44,443.785,927978
2022-04-19 19:00:00+00:00,443.78,445.8,443.53,445.01,4380054
2022-04-19 20:00:00+00:00,444.99,445.11,442.51,443.19,586061
2022-04-19 21:00:00+00:00,443.25,443.25,442.94,443.05,19177
2022-04-19 22:00:00+00:00,443.01,443.87,443.01,443.55,19038
2022-04-19 23:00:00+00:00,443.55,443.55,443.22,443.42,8577
2022-04-20 08:00:00+00:00,443.3,443.91,442.73,443.91,26523
2022-04-20 09:00:00+00:00,443.88,445.16,443.78,445.16,7512
2022-04-20 10:00:00+00:00,445.06,445.62,444.73,445.42,18632
2022-04-20 11:00:00+00:00,445.41,446.93,445.0,446.92,46401
2022-04-20 12:00:00+00:00,446.88,447.17,446.43,447.11,69334
2022-04-20 13:00:00+00:00,447.12,447.56,444.41,445.02,1944774
2022-04-20 14:00:00+00:00,445.01,447.23,444.37,446.93,1803502
2022-04-20 15:00:00+00:00,446.91,446.96,445.06,446.05,1062854
2022-04-20 16:00:00+00:00,446.02,446.66,444.795,446.26,942262
2022-04-20 17:00:00+00:00,446.26,447.2,445.88,446.62,1117790
2022-04-20 18:00:00+00:00,446.59,446.89,443.48,444.02,1281021
2022-04-20 19:00:00+00:00,444.01,446.38,443.89,444.66,2630399
2022-04-20 20:00:00+00:00,444.66,446.14,444.54,446.0,548129
2022-04-20 21:00:00+00:00,445.94,446.09,445.81,445.99,5014
2022-04-20 22:00:00+00:00,446.0,446.43,445.95,446.0,31836
2022-04-20 23:00:00+00:00,446.0,446.35,446.0,446.22,12144
2022-04-21 08:00:00+00:00,447.85,448.36,447.85,448.36,5343
2022-04-21 09:00:00+00:00,447.95,448.13,447.55,447.74,2221
2022-04-21 10:00:00+00:00,447.72,448.38,447.61,448.38,28009
2022-04-21 11:00:00+00:00,448.4,448.8,448.02,448.73,48613
2022-04-21 12:00:00+00:00,448.6,448.85,448.06,448.85,94994
2022-04-21 13:00:00+00:00,448.87,450.01,448.41,449.36,1935518
2022-04-21 14:00:00+00:00,449.38,449.42,446.92,447.3,1713803
2022-04-21 15:00:00+00:00,447.3,447.63,444.67,444.7,1281579
2022-04-21 16:00:00+00:00,444.71,445.05,442.63,442.64,1633505
2022-04-21 17:00:00+00:00,442.66,443.62,441.36,441.75,2122793
2022-04-21 18:00:00+00:00,441.73,441.92,438.85,439.23,1820503
2022-04-21 19:00:00+00:00,439.21,439.71,437.1,438.04,4177850
2022-04-21 20:00:00+00:00,438.02,438.18,437.25,437.61,517412
2022-04-21 21:00:00+00:00,437.79,437.81,437.51,437.73,13787
2022-04-21 22:00:00+00:00,437.71,438.03,437.42,437.91,6579
2022-04-21 23:00:00+00:00,437.72,437.87,436.84,436.93,8063
2022-04-22 08:00:00+00:00,437.91,438.27,437.37,437.41,7963
2022-04-22 09:00:00+00:00,437.25,437.8,436.35,436.47,3684
2022-04-22 10:00:00+00:00,436.5,437.02,436.18,436.84,66036
2022-04-22 11:00:00+00:00,436.8,437.88,436.8,437.79,60604
2022-04-22 12:00:00+00:00,437.84,438.27,436.85,437.08,90914
2022-04-22 13:00:00+00:00,437.11,437.29,433.84,434.32,2380221
2022-04-22 14:00:00+00:00,434.31,435.97,432.16,432.32,3020250
2022-04-22 15:00:00+00:00,432.33,433.49,430.36,430.38,1850601
2022-04-22 16:00:00+00:00,430.37,431.88,429.87,430.42,1636043
2022-04-22 17:00:00+00:00,430.42,430.72,428.745,428.75,1251345
